"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"40","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Clostridiales",0.2811,5.6216
"41","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteroidales",0.2789,5.5778
"42","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.4375,5.4688
"43","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Clostridiales",0.2723,5.4462
"44","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Selenomonadales",0.3264,5.4395
"45","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Clostridiales",0.4313,5.3916
"46","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.4203,5.254
"47","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Bacteroidales",0.2625,5.251
"48","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.3591,5.1305
"49","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.3566,5.0949
"50","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteroidales",0.4531,5.0342
"51","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Selenomonadales",0.5015,5.0154
"52","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.4469,4.9658
"53","X9P297R3D0","D0","P297","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.6427,4.9442
"54","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.4425,4.9172
